"13","Test operation development","468.28","true","Owner avoid especially writer air her key hear remember similar rise employee","Fact purpose officer about student half buy successful government other situation reflect new choose adult opportunity style yes cause trade town few let reveal difficult article certain director good toward street process work low plan education which important visit article audience story debate provide with style kind win safe question week along change determine send task animal Mrs usually throughout would professional gun describe","4"
"14","Audience customer score finally ahead","490.62","true","Unit gas personal wish article technology later true heavy","Travel administration continue author major six your may arrive kind by us analysis collection three throughout believe project resource floor mouth possible kitchen now easy environment heart hot Congress wear fall view","4"
"15","Accept spring different","239.00","true","Follow attention act hand process anyone nor even common over next","Message west take black impact help these which sign politics enter enough knowledge impact relationship individual though bill chance shake thing most new oil special success fish hundred rise reality moment feel recently similar quickly trouble air easy dark deal among position onto control nearly evidence","3"
"16","Really manage","352.19","false","Account western only four a decision off sell require parent nor make development","Try gun national minute trial water exist page school another sell hope power hour court pretty arm number moment against purpose market east movie present people remember development true market everybody others beautiful adult effort support black mother section officer discover make include brother government wrong another child surface take body suggest ten machine company many agency show cover form","2"
"17","Staff why college me fast","53.49","false","Result to hear or work quality get","Phone long scientist agent authority prepare yes both edge apply spring blood response heavy movement hear decide support attorney heavy six mean million both decision room fine scene out recent","3"
"18","Job successful animal","287.09","false","Until say least sort rise actually born energy","Hit truth become build identify seat run debate fine break sound detail tell hospital also billion reality land happen whose worry close religious environment task take reach fly fact world water nature boy reach dream truth important center tend sea development view seat eye anyone physical hotel exactly use ago I according nor expect affect himself need per share maintain skill before any impact easy spend a","2"
"19","Probably design","335.26","false","Much region give project particular itself here low view statement","Design decide however way season similar she professional positive must and speech country admit follow break drop fish house five consumer she eat heart history sort option two others easy","7"
"20","Account consumer feeling","165.65","false","Important school kind consumer beat half gun some although middle reach plant behind","Note word be water career whatever ten far available baby cause onto worker mother other candidate tough read benefit skin sense stock story glass employee listen require each tend serve far glass him force wall organization certain discover through feel easy charge beat trouble matter spend","9"
"21","Source project","150.20","true","Address successful film product international industry possible particularly month","Order indeed group now bill know them international both join figure enter hospital capital impact case military turn discover crime fear fast least treatment our garden family relate matter after year affect reveal bad experience medical present","4"
"22","Wonder until","302.67","true","Enjoy best high represent they language address","Group door fall cover character president defense too check event administration end plan piece meeting drop use dream poor arm happy interview nothing at poor glass beautiful attention its game follow range tonight yet most walk study career including control","0"
"23","Amount figure customer","461.36","false","Mind mother building walk actually continue","What agency later image meet small road wind provide quickly low even investment cultural responsibility bag glass base reason television indicate gas sort manage firm card family rich act candidate surface necessary food owner identify director forward sound task concern than establish series development sit situation single produce if prove but strong key program because account final discover success reach radio still car throughout commercial interest","2"
"24","Suggest wish travel admit allow","359.17","false","Especially our impact baby against despite money adult for","As mother director much land look think off whatever not nor leg sister oil blue whatever answer positive although international trouble us lose agency above radio debate situation one bed black them imagine religious course would seek consider item despite we push protect huge wall house himself feeling evening center official product focus detail article husband including down head class strong must Republican","4"
"25","To miss","240.83","true","Table condition join record car fear measure south","Yet would magazine author history toward board the shake federal few building result interesting second here cell writer avoid affect read dinner be certainly property mean approach example short available others thank attack money natural spend pass smile boy ask","0"
"26","Rest oil official station","453.51","false","Reflect price make few likely area economy social fast eat price wife despite","Year third policy doctor the station time member color southern contain near nature culture which week local do field shoulder past argue every factor night establish pay quality likely report nearly help them response seat strategy","3"
"27","Attack from attention including","141.92","false","Final mention one arm fill character court its","Trade ready face successful upon TV police officer security reason every focus close into upon action challenge protect resource good interview guy as number go year garden leave world science reflect second","4"
"28","Network language suffer land lot","158.93","false","Institution agency which impact parent story six degree","Camera open always share man full especially street low black side air position inside official hold official attack better even onto story stage report hear contain heavy upon require speak school night international else wish peace know draw better red about perhaps","2"
"29","Something area figure claim","275.94","false","Past occur for always follow boy would lose stock support officer everybody","Note along play crime produce nature sea mind wonder accept measure three avoid population leave speak behind student civil near to where rock spring control suffer letter at term spend agree his performance watch sign than on bar occur surface keep role alone analysis health business indeed pass bill cover thank concern action individual carry pick room cause water range idea buy movement represent others boy","9"
"30","Traditional show","313.41","true","Box campaign difference system rate myself big capital product open","Check condition maintain strategy career various ready really girl sure fund environment including position fish admit price live family smile quite crime administration majority final when seem account have south thank possible dream cover since various computer effort between collection talk officer tend include increase discuss no stock ball behavior into film marriage write in idea huge allow example model","1"
"31","Few majority past camera","17.78","true","Economic fast fine rock information as receive difficult yard age star","Operation stay different down sit base though less age series series the sometimes interesting him four similar career popular account shake cultural state itself several president yard mission suggest site page town question religious herself bill impact ask floor final close campaign agreement pick position white bed TV direction job television off sure skill poor list TV subject product popular scientist any","6"
"32","Why list","210.98","false","Reduce find beat lay plan face clearly than","Hit doctor both change clearly health notice bit set special ago impact environmental what sign memory name become government society at get sort maybe quite image bed pressure memory pay already agree until thousand member in best street","9"
"33","Price sort manager","427.22","true","Could carry especially just control local","Spend suggest possible whom pick very southern thus he behind certainly policy smile kid society quickly daughter country cut environment edge name down of perform something production shake main agreement former phone lose try consumer all key develop suddenly music resource position do if suddenly drop use","9"
"34","Member must memory","366.49","false","Major step along marriage east trial cut life fear boy role worry","New article protect American case power teacher member simple model off official authority when group security some after stuff her once success four into lay game huge low rule item never eight court wide child half plant visit rather she trade federal answer kitchen goal our grow play design go commercial court hope foot offer suddenly consumer history toward station ability relate sea skill","0"
"35","And again","116.64","true","They garden through sport its tax force order discover exactly sense","About staff style win purpose case well though seat meet quality offer measure beautiful history hotel leader step federal board data newspaper I wide campaign might south expert throw step information set into situation full north impact expert","0"
"36","Ready trouble western car","59.95","true","Can election morning reflect school couple finally turn mean power dog","Feeling out Mrs nearly way great a campaign source professor behavior environmental item majority police important add head learn expect forward huge add half up trip foot face pay customer development painting course else account listen tax from run manager cell away mind ok reach same food base sure beautiful study image education career control discussion whose although beyond important party skin single at right together coach production professor","5"
"37","Determine what institution others home","223.62","true","Exist sure late responsibility expect south plan","Foot dog education little surface stand bill report coach rather many Mr something have mean once oil least floor everyone science send state former teach class fire perhaps join result project possible line attention take evidence any name measure among memory short now score ever note save account case talk provide risk expert key many actually business community any eat also her cultural may explain move parent","3"
"38","Past if race","463.94","true","Turn it draw find action with try","Manager pass arm couple building animal change fund agreement relate decision certainly bill great too song tend poor out event state job them finish health whether middle decade player by term quality study central explain say arrive street report high poor energy news alone card culture help official leader international when then play have whole building newspaper candidate natural lead even relationship article other image free green","9"
"39","Improve decade soon pressure outside","203.24","true","Detail cultural so art so level rule stuff police people country","Become ever play total sign back arrive financial wall beyond discussion stage another common physical she peace should cost doctor would natural laugh all art poor foreign term hear hospital effort store current nor many product yet television ten federal teacher the particular history","1"
"40","Upon wonder","30.86","false","Fall bit nation reach write certain wide give front manager course avoid","Old trouble individual recognize summer air hundred clear tough moment soldier around oil college low fact nature brother on agency part weight conference service social protect style others response fly trouble Republican price game quite own key newspaper theory job free","4"
"41","Behind suffer to remain","445.98","true","Political natural road last sign government company","West remain so expert southern ball young carry investment mean wife attack memory staff environmental shoulder decade modern force buy account simple child campaign check factor describe theory sell our for force","6"
"42","That real share computer politics","290.40","false","Hospital lead will with election serve sea","Us fill analysis hope safe picture film media bed win goal thousand enjoy from tonight up popular or benefit represent who nice vote Democrat with nature property bank soon risk my others order director and support that ahead suffer process radio something project boy some away production development always simply shake special current","2"
"43","Office the design","126.24","true","Bad citizen break save society least tend society","Yeah employee per name tell war conference around commercial price popular buy have couple environment citizen size author year letter fast yes ground everything develop role base down his that late baby social successful fight nearly play success role partner","2"
"44","Itself man off series","457.22","true","Today best skin first collection whether issue story choice however tax appear","Do may bad important second computer cold event item explain should morning none instead recently computer subject firm after participant soon watch for others wear pay medical ball too particularly represent arm ready foreign whose us strategy recent hotel population husband impact particular central seven happen author civil stage possible guy mission way here year toward design certain clearly body whom reduce draw","8"
"45","Consumer help area piece","424.12","false","North speech reason shoulder after control these short","Modern deep particularly indicate small become not bar policy minute dinner at hold white spend story the partner positive single produce almost chance recent civil analysis nothing site class class at former wife wrong nor political whose future realize class accept main doctor ability security culture something","0"
"46","May recent cover debate decade","436.69","true","Behind it only method rate wife again significant share","Every feel huge miss hospital ball east choice mind discussion I investment goal pretty fall clear ten ask later doctor nothing chance community special popular do professor drive team into arm relate maybe whose seem put entire PM able partner across language lay area hot stand","4"
"47","South between interest program state","74.71","false","Affect significant entire away case especially class already","Each decide source know all herself degree as billion movie eight leave for Mr forget involve well interest meet paper significant approach discover picture defense admit book wonder development peace early none many house often police resource season audience should oil its mission claim improve value per enough enough responsibility significant form left land","2"
"48","Consider research majority type","177.37","true","Offer lot travel that set accept city mother","Line page car image under miss Mr effect media claim foreign risk key positive through yard hard stock fish road young collection reduce industry interview international continue baby foot information chair difficult measure customer thought could about region industry hot member itself later for today clearly occur scene stand shoulder avoid Congress list community theory save home sure","1"
"49","Clearly so clear","57.08","false","Life meeting key daughter idea heart camera might here control","Join ahead church responsibility these star boy move skill effect might people recent family I history exist television along sure edge arrive table similar bed option half whose model offer those door will floor employee drug type million assume shake organization cost fire else feel fly season most air usually factor level best yes late listen admit improve sport both dream","1"
"50","Visit stand mother get","375.77","false","Tend art people physical once consider international","All leg west pick minute go record some forward suggest happen soldier human they area threat image arm require open popular probably play later stop bill southern will speak or activity agent matter mother seem medical goal tonight my surface institution half very table through item better behind city girl part industry issue new quite threat few speak place color","0"
"51","Strong charge director compare might","155.77","true","Today book support size city bar center these total sign know","Eye after beat entire think explain out purpose whole place I item organization arrive know contain economic enjoy sound quickly piece value education student line what professional peace seven full these technology size reflect administration adult street director peace certainly condition main garden parent green listen field rise alone agent matter design prevent memory capital include spring house","7"
"52","Check country outside","99.51","true","Ever impact explain civil positive same amount","Finally effort skill assume finish wish rate decision camera I write up nice certainly such imagine also media college ability garden rather form ready special same practice four stay would unit nearly miss door commercial how another not education down anyone in arm defense industry writer make can these bad sister science green","7"
"53","Bad continue","73.60","true","Public food range Republican value effect pick mean","Building hot style might evidence into represent now various keep various south certain news particularly system side development edge people figure cultural view together bar really stuff something yes security add service activity travel will way ground","7"
"54","Accept number brother","282.16","false","Those similar training politics ahead make arm always","West growth important serve compare dark design treatment table star between though weight age young current education find listen scene executive stage hope action share make short always how officer trouble measure value occur leg first senior significant again former fine dinner near full church seek charge friend throughout since go into hand record without significant ability","7"
"55","Your vote","443.74","false","Pm source clear dog fast remain wrong so list someone white enjoy","Into begin morning enough tree behavior support peace glass Mr my night this none attack same base site many cold firm push student perhaps side course or charge trouble within above rather bank condition reduce energy animal still by can this will right fight people open spend piece power be nor result best chair cut early shoulder","4"
"56","Plant on","312.78","true","Plant audience owner ok stock hand red speak agency class campaign such bag","Her market individual sense five change customer participant hope likely service state building reduce pass gun choose single special now until buy seven west beyond toward plant support doctor above national","9"
"57","Game different forward","204.15","true","Mission suffer pattern once impact agreement according mother","Pretty notice know star teach sing against offer send fact economic never sort mind job this story room recognize present pattern court bill discussion while character side drive inside nice indeed top west increase little open involve with piece particularly computer bank anyone environmental couple fall order record type relate piece factor talk start short run run somebody nor energy eye week","7"
"58","Political pressure him","339.62","true","Forward light why page popular continue day source court","Finally war particular apply ever many amount time instead morning agree either half official mention quite concern miss home painting rock game hair night step personal sea rest old pick charge person rock as a require suffer agency","7"
"59","Do may job fact drug","165.84","false","None toward benefit key movement remember","Report after build then hospital about write sport former bag news especially bad no agree sit night do kid apply any energy her if PM skin fill detail less lot project hundred behind section artist road arm stuff director beyond situation cell edge three tend growth activity door its light","9"
"60","Animal task language at","437.41","false","Service commercial generation without wonder teacher put","Whom feeling inside decision term some until study share agree great statement truth could force subject enter challenge once raise data anything executive there employee baby seven heavy music time option rich reflect onto of walk","8"
"61","Citizen however","340.67","true","Cold indicate there character remain off good much spend off plant","Point region rise participant I impact foreign election personal quality grow number garden data wife send recognize accept purpose head medical usually east chance religious most become husband though huge this many term reflect shoulder every to worker treat station","7"
"62","Now indeed","466.73","true","House market tree ahead major good follow develop","Stay fall young tree yet option my serve bed some teacher medical hit idea safe model defense store guess agree popular maybe read model perhaps his already doctor fact miss left including box improve factor study site accept source site identify Mr politics assume small total then action laugh doctor speech action cold most seek painting drug decide family present likely wind course media need same your system leader","4"
"63","Whose pressure call usually","449.71","false","Hundred low south owner institution hand nothing author sign","Particular building end return ever try product thing beyond attention last simply dark life girl sister main us significant age everyone represent tonight although middle hot affect friend glass home six event time you man so officer consumer pattern above throw effort collection young significant now when test simple cold someone boy explain especially tell","7"
"64","Decade candidate officer rate","112.48","true","South ok lose health worker ready live blood some","Economy professor travel move tonight skin artist there scientist let look sister gas face offer administration indicate answer carry size perhaps data tend name effect lot give people young probably increase next natural range recognize much","3"
"65","Artist customer owner decision","499.55","true","Particular sound difficult effect read seat impact would general wall about","Hundred democratic send attention a just able popular red arm unit event wrong time keep herself myself policy bring address where indicate decision southern growth skill unit notice memory run any through development decision focus north low statement report make economy today few of recent mother","1"
"66","Behavior carry","129.73","false","Because conference street take former describe need eight high","Behavior rise employee reveal thus modern thought common range prepare player east including consumer your edge admit evidence agree across cost crime police may include pressure political research ground economic pay back play language have hear citizen scene choice dark tend loss term final medical truth admit staff home family writer partner vote out them few stock play billion benefit chair age compare","8"
"67","Development right son real around","410.46","false","Easy rule government throw peace long policy not style lead visit","Response hotel PM why if occur bit what provide training allow until push story poor according paper discover place group force agreement question point under degree when find east east wrong time pass material nice everyone personal power edge none each training senior former less understand","1"
"68","Bit friend thank four wide","367.75","false","Reflect nation attack Mr case hand dog manager catch task","Certain for everybody society among less someone whatever goal nation somebody sometimes skin relationship moment air director base piece mother administration from health claim moment seat treatment star large two leader foot your art return","4"
"69","Model early if","101.43","false","Collection head when project oil happy","Others between poor sister study fast wrong carry experience budget bit mention officer compare rather theory really culture plan where imagine various return lay cup leg become television matter number stop city mean simple focus until several sing quality relationship say poor church positive air collection work sign air method impact college hot under box whose president energy raise when training wall sure through matter","0"
"70","Human southern huge","325.64","true","Staff let decision itself allow we","Dark while head development manage available health hand just military change better quality history find great medical discover even while hand speech green camera authority dark wrong inside write talk painting community close simple drug live if news detail run weight room east suffer child four his need give finish citizen hope real security window picture order another significant large dog write act little","4"
"71","Direction dream candidate recent","339.24","false","Anyone understand result need moment star lay technology recent improve research somebody room","Floor owner nearly learn until area news floor lot task left professional attorney study store whom response character nature carry our fund experience hold local usually street sing officer trip last common indicate step imagine catch parent seem against popular central sport quite western serious method contain direction set you question follow yet meeting outside cover happy office myself himself about answer front which thing they it improve clearly","3"
"72","Upon wish area quickly","448.87","false","Suggest federal day body customer significant interest thought say detail my with memory","Admit may instead late put method job small much public across expert firm science series though early tend effort college police direction thing suffer fact within matter language anything have answer would daughter service subject ahead federal receive easy outside question","4"
"73","Church act","248.76","true","Fast country girl medical perform girl front","While forget eight look concern consider reason story sea avoid goal view few type feeling grow his appear clearly heart expect area four it together police walk close sister drug yeah unit a improve similar","9"
"74","Pressure forget shake wish","133.72","false","Tell choose new recognize place tend admit film benefit attention","Those draw forget relate have oil recent job rule protect lay style position drive within rock short hard would whom everyone product consider pull number note break suffer safe much knowledge reveal center step respond shake moment north himself build town call listen imagine rate animal save world condition industry memory north clearly identify every certainly decision lay market difference run decade alone always","4"
"75","Hair create","428.93","false","Decide both good cut college share great whole such finally fact situation","Through ready across move ask head rate support fall commercial late black west can network manager TV spend girl trade audience determine shake nothing heavy herself forward even hotel image hotel expert professional school culture without clearly adult then herself charge Democrat move human country blood yes report relate build including other order cell time other discuss light nature writer later cause expect head similar political","3"
"76","Democratic pay better together","19.77","true","Experience game give ball behind coach nearly","Especially prevent tonight score but talk job southern where born work remember many shake collection begin out admit forward myself free office culture last culture audience evidence sell society someone economic the for sometimes friend probably course catch degree body her throw line employee recognize ahead town during party production style policy fact matter industry thought thus door heart city attorney","7"
"77","Garden space while all","71.96","false","Inside unit mention blue style much boy each physical","Crime wind hope college executive really individual enjoy outside fall can college history instead ok senior idea my sometimes ago consumer since address TV try factor manager against may factor nation ok exactly kid teacher response actually marriage table statement us gas know choice bill condition travel personal catch apply to easy","0"
"78","Guy to plant","66.76","true","Fall national cost edge could able blood movie daughter day nature example report","Of behavior customer station officer toward each every fine let action nation happy sound no answer increase true return nor by traditional perform scene skill truth baby door anything pattern wear fire maintain pretty buy wind nice new mother air evening agent science grow tough call arm already concern night","6"
"79","Public idea space foot number","326.72","true","Think kind should data true accept pull upon someone pick agree","After record call remember fact guy than arm from left nothing within down rise former even century between administration any safe voice deal campaign owner seem believe bring view ground case everybody effect pick system herself year let child company matter maybe interest culture become once case media special before throughout agent financial drop","4"
"80","Thus health miss doctor job","252.03","true","Board apply adult democratic structure apply real any nice tree task either successful four","Keep act often language through heart force west billion share lot key play best capital into address maybe exactly skin party fill surface brother they color travel car receive about body before politics number none skill far light if act care task sit son","7"
"81","Pay size economic on","269.03","false","There certain full east debate western join view conference bag","Form maintain thus if blue development goal win example time project enough realize camera impact born not war current the good watch own prevent skill artist individual realize minute project how police they","6"
"82","Senior design","187.36","true","Weight herself ago page dog event month effort that expert boy positive","Law require from language at sense like morning talk night bank resource bed agree field small training remember heart make budget executive compare artist adult Democrat surface impact against probably drug would seek series form sense continue","5"
"83","Draw argue quite friend","415.72","true","Show former administration manager move tough","You military senior reflect author base international admit moment such add determine ten agent possible enjoy particular still why performance way task second weight moment many important to design until ground window organization such notice different argue officer general guess run white nearly family responsibility least magazine plan relationship stand instead site once have free argue yeah","3"
"84","Speak everyone shoulder","430.43","true","Talk system wind off analysis turn natural may government century prepare treat laugh","Resource new public trip start describe human stay sit religious direction they write media difficult drug strategy road building nature other method movie pick man face radio son girl real sense well left former trial safe usually certain other field commercial say customer information foreign since charge particularly actually our ahead account myself show draw stuff","6"
"85","Sister inside","224.47","false","Purpose institution action social become fish child shake star soon whose","Value radio decide administration memory check spring although break beautiful cause beat myself their son prove many company only environment culture record recent nor current great little hair money audience scene same citizen thousand language agent trip","0"
"86","Walk begin","202.03","true","Quite fall early budget stage deal employee son hospital reason","Development budget other particular six family student later have population take guy school yeah religious heart own whose risk resource popular let light bed year way personal group condition rock popular area group go respond relationship open look play war particular drive not child prove pattern much live writer point certain turn budget action this radio whose car mean form water safe certainly significant","0"
"87","Think try society","173.27","false","Before however medical little number under avoid business energy worry","Easy particular interesting hair identify probably everybody business by push wish baby dog worker reason season my like meeting government forward last bed play look property there far because later that meeting member capital opportunity star available person finally young loss dog military dark half here international middle catch work themselves point fight factor citizen group wrong happen quite time southern table inside which should two help control","8"
"88","What run amount","184.93","true","Likely star shoulder commercial until deep protect attack article","Material such hotel assume become reduce right dog draw story some couple left couple director sure actually whom clearly next involve gun wear project important sport food from task interesting grow","0"
"89","Reason buy public nice","62.78","false","Down figure effect course official evidence act","Space plant tell shoulder billion feeling begin election rule only fall sing data surface really billion stage time late guess stand increase hold provide article drop join well my identify school low air strategy nothing door forget quickly this line able newspaper speak station your successful necessary study what wrong possible no indicate if each bank their item claim capital","4"
"90","Seek economy put rich she","471.39","true","Future couple leave song this eat expert","Fish record why discuss agreement reflect live political throughout name early because blood suffer perform bill story parent one man main east play whose step dream soon tend company again serious then career","6"
"91","Least suddenly son","450.77","false","Memory may bill letter adult lawyer","Management author into weight peace middle community ground toward those rather gas throw thought smile right security establish sure city far key agent usually important option perform usually detail road meet wall author behavior for when generation care entire","8"
"92","Unit smile talk somebody","52.39","true","Moment main guess oil that spring human","Whatever record billion today receive family side adult single guy forget newspaper toward meet difficult leader happy small ago boy value night yet physical before treatment direction rock how test street official special senior population worry remember teacher site stop ten wife position floor amount either sometimes sign chance especially certainly move answer conference everybody write camera serve sort actually senior oil bar number open social movie","2"
"93","Tough coach stop age","242.71","false","Health training trip thing prove likely its suffer manage knowledge speak statement","Worker pay their rather almost establish such upon far arm financial hear performance type court easy who environment often as I remain enter respond need floor life society girl approach car senior election side even enter somebody herself century director yet president might professional apply culture imagine store all difference site personal buy four occur","9"
"94","Very future animal","465.35","true","According piece data bit rise party","Note action black throughout soldier bar do kind and medical level successful young matter those tell one perform look weight phone rise bar establish garden because turn training city player somebody simple animal quite conference what media determine model mouth cup day which worry century choice may decision month model fear early war yourself glass beyond big my away plan part relate mind table discuss best","2"
"95","Then research","157.52","false","Successful age but appear general today own","Edge authority difficult enter possible writer moment hot moment bill research price political popular care trouble kind fund glass five throw baby night else big morning next glass guy try nature soon reason program view seat lay level smile suffer some share forward parent article continue center win art ready stop open describe","7"
"96","Series figure fear","469.18","false","Executive common beyond end almost either scientist challenge visit ahead same work","Recently amount health across everything record answer notice high there bag enjoy life system cold drive loss speech public less strong consider nothing some current group he wear court environment better serve","1"
"97","Bar threat money","213.96","false","Treatment modern show against power performance plan","Significant seat song performance should amount person light how everything reality technology thing technology level health begin cover whole citizen building push behind politics pull glass buy wind father may among","1"
"98","Mouth religious work century","176.75","false","Health report wife so country we final stage concern situation thought","Difference nearly attorney reduce little model several officer base help official contain certain ok himself small account number lawyer story think share performance become movement six artist be follow grow","6"
"99","Company question half","19.78","false","Into rich effort near red number of meet eat","Discover sing ten cup care house speak often site audience eight agency life without knowledge believe attorney television bad year board director law author seven security everything church war real home accept Democrat maintain moment exactly visit culture character place find tree surface let","4"
"100","Cover himself other sit","348.68","true","Learn individual mean fact mission power statement figure","Fund somebody couple of different try information no amount range modern determine inside cup her on call measure speak dark suddenly industry provide job too shake skill source five for state live hot exist early product record page citizen own particularly throughout Congress that for much his open learn ago","8"
"101","Attorney large","415.35","true","Three true never measure fast rich itself our people leader type already","Treat tax foreign oil identify customer wish before you save decade them do clear sport ball continue behavior phone physical stage ahead card seven affect avoid term participant doctor lead role yard majority control rich fill send","8"
